qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner io_heavy.txt hints.txt
TRACE tick=24 pid=3 pri=0 slice=1
TRACE tick=24 pid=3 pri=0 slice=0
TRACE tick=25 pid=3 pri=0 slice=1
wrunner: loaded 4 items, 1 hints
wrunner: spawnTRACE tick=26 pid=3 pri=0 slice=0
 io_burner pid=4 priority=0
wrunner: spawn io_burner pid=5 priority=0
TRACE tick=27 pid=3 pri=0 slice=1
wrunner: spawn io_burner pid=6 priority=0
wrunner: spawn io_burner pid=7 priority=0
TRACE tick=28 pid=3 pri=0 slice=0
TRACE tick=28 pid=4 pri=0 slice=0
TRACE tick=28 pid=5 pri=0 slice=0
TRACE tick=29 pid=4 pri=0 slice=0
TRACE tick=29 pid=4 pri=0 slice=0
TRACE tick=29 pid=4 pri=0 slice=0
TRACE tick=29 pid=4 pri=0 slice=0
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=30 pid=5 pri=0 slice=1
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=31 pid=4 pri=0 slice=1
TRACE tick=31 pid=4 pri=0 slice=0
TRACE tick=31 pid=4 pri=0 slice=0
TRACE tick=32 pid=5 pri=0 slice=0
TRACE tick=32 pid=4 pri=0 slice=0
TRACE tick=32 pid=4 pri=0 slice=0
TRACE tick=32 pid=4 pri=0 slice=0
TRACE tick=32 pid=4 pri=0 slice=0
TRACE tick=32 pid=4 pri=0 slice=0
TRACE tick=33 pid=4 pri=0 slice=0
TRACE tick=33 pid=5 pri=0 slice=0
TRACE tick=34 pid=4 pri=0 slice=0
TRACE tick=34 pid=5 pri=0 slice=0
TRACE tick=34 pid=4 pri=0 slice=0
TRACE tick=34 pid=5 pri=0 slice=0
TRACE tick=35 pid=4 pri=0 slice=0
TRACE tick=35 pid=5 pri=0 slice=0
TRACE tick=35 pid=5 pri=0 slice=0
TRACE tick=35 pid=5 pri=0 slice=0
TRACE tick=36 pid=5 pri=0 slice=0
TRACE tick=36 pid=5 pri=0 slice=0
TRACE tick=36 pid=5 pri=0 slice=0
TRACE tick=36 pid=5 pri=0 slice=0
TRACE tick=36 pid=5 pri=0 slice=0
TRACE tick=37 pid=5 pri=0 slice=0
TRACE tick=37 pid=5 pri=0 slice=0
TRACE tick=37 pid=5 pri=0 slice=0
TRACE tick=37 pid=6 pri=0 slice=0
TRACE tick=37 pid=5 pri=0 slice=0
TRACE tick=38 pid=5 pri=0 slice=0
TRACE tick=38 pid=5 pri=0 slice=0
TRACE tick=38 pid=5 pri=0 slice=0
TRACE tick=38 pid=7 pri=0 slice=0
TRACE tick=38 pid=5 pri=0 slice=0
TRACE tick=39 pid=5 pri=0 slice=0
TRACE tick=39 pid=4 pri=0 slice=0
TRACE tick=40 pid=5 pri=0 slice=0
TRACE tick=40 pid=5 pri=0 slice=0
TRACE tick=40 pid=6 pri=0 slice=0
TRACE tick=40 pid=5 pri=0 slice=0
TRACE tick=40 pid=5 pri=0 slice=0
TRACE tick=41 pid=5 pri=0 slice=0
TRACE tick=41 pid=5 pri=0 slice=0
TRACE tick=41 pid=5 pri=0 slice=0
TRACE tick=41 pid=5 pri=0 slice=0
TRACE tick=42 pid=5 pri=0 slice=0
TRACE tick=42 pid=5 pri=0 slice=0
TRACE tick=42 pid=4 pri=0 slice=0
TRACE tick=42 pid=4 pri=0 slice=0
TRACE tick=43 pid=4 pri=0 slice=0
TRACE tick=43 pid=4 pri=0 slice=0
TRACE tick=43 pid=4 pri=0 slice=0
TRACE tick=43 pid=5 pri=0 slice=0
TRACE tick=43 pid=4 pri=0 slice=0
TRACE tick=43 pid=4 pri=0 slice=0
TRACE tick=44 pid=4 pri=0 slice=0
TRACE tick=44 pid=6 pri=0 slice=0
TRACE tick=44 pid=4 pri=0 slice=0
TRACE tick=44 pid=4 pri=0 slice=0
TRACE tick=44 pid=4 pri=0 slice=0
TRACE tick=44 pid=4 pri=0 slice=0
TRACE tick=45 pid=5 pri=0 slice=0
TRACE tick=45 pid=4 pri=0 slice=0
TRACE tick=45 pid=4 pri=0 slice=0
TRACE tick=45 pid=4 pri=0 slice=0
TRACE tick=45 pid=4 pri=0 slice=0
TRACE tick=45 pid=4 pri=0 slice=0
TRACE tick=46 pid=4 pri=0 slice=0
TRACE tick=46 pid=4 pri=0 slice=0
TRACE tick=46 pid=4 pri=0 slice=0
TRACE tick=46 pid=4 pri=0 slice=0
TRACE tick=46 pid=4 pri=0 slice=0
TRACE tick=46 pid=4 pri=0 slice=0
TRACE tick=47 pid=4 pri=0 slice=0
TRACE tick=47 pid=4 pri=0 slice=0
TRACE tick=47 pid=4 pri=0 slice=0
TRACE tick=47 pid=4 pri=0 slice=0
TRACE tick=47 pid=5 pri=0 slice=0
TRACE tick=48 pid=4 pri=0 slice=0
TRACE tick=48 pid=5 pri=0 slice=1
TRACE tick=48 pid=4 pri=0 slice=0
TRACE tick=49 pid=4 pri=0 slice=1
TRACE tick=49 pid=5 pri=0 slice=0
TRACE tick=49 pid=4 pri=0 slice=0
TRACE tick=49 pid=6 pri=0 slice=0
TRACE tick=50 pid=4 pri=0 slice=0
TRACE tick=50 pid=7 pri=0 slice=0
TRACE tick=50 pid=4 pri=0 slice=0
TRACE tick=50 pid=4 pri=0 slice=0
TRACE tick=51 pid=4 pri=0 slice=0
TRACE tick=51 pid=4 pri=0 slice=0
TRACE tick=51 pid=4 pri=0 slice=0
TRACE tick=51 pid=4 pri=0 slice=0
TRACE tick=51 pid=4 pri=0 slice=0
TRACE tick=52 pid=4 pri=0 slice=0
TRACE tick=52 pid=4 pri=0 slice=0
TRACE tick=52 pid=4 pri=0 slice=0
TRACE tick=52 pid=5 pri=0 slice=0
TRACE tick=52 pid=4 pri=0 slice=0
TRACE tick=53 pid=4 pri=0 slice=0
TRACE tick=53 pid=6 pri=0 slice=0
TRACE tick=53 pid=4 pri=0 slice=0
TRACE tick=53 pid=7 pri=0 slice=0
TRACE tick=53 pid=4 pri=0 slice=0
TRACE tick=53 pid=4 pri=0 slice=0
TRACE tick=54 pid=4 pri=0 slice=0
TRACE tick=54 pid=4 pri=0 slice=0
TRACE tick=54 pid=4 pri=0 slice=0
TRACE tick=54 pid=4 pri=0 slice=0
TRACE tick=55 pid=4 pri=0 slice=0
TRACE tick=55 pid=4 pri=0 slice=0
TRACE tick=55 pid=5 pri=0 slice=0
TRACE tick=55 pid=4 pri=0 slice=0
TRACE tick=55 pid=4 pri=0 slice=0
TRACE tick=56 pid=4 pri=0 slice=0
TRACE tick=56 pid=4 pri=0 slice=0
TRACE tick=56 pid=6 pri=0 slice=0
TRACE tick=56 pid=4 pri=0 slice=0
TRACE tick=56 pid=7 pri=0 slice=0
TRACE tick=56 pid=4 pri=0 slice=0
TRACE tick=57 pid=4 pri=0 slice=0
TRACE tick=57 pid=5 pri=0 slice=0
TRACE tick=57 pid=5 pri=0 slice=0
TRACE tick=58 pid=4 pri=0 slice=0
TRACE tick=58 pid=5 pri=0 slice=0
TRACE tick=58 pid=6 pri=0 slice=0
TRACE tick=58 pid=5 pri=0 slice=0
TRACE tick=59 pid=5 pri=0 slice=0
