qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner mixed.txt hints.txt
TRACE tick=18 pid=3 pri=0 slice=0
TRACE tick=19 pid=3 pri=0 slice=1
TRACE tick=20 pid=3 pri=1 slice=0
TRACE tick=20 pid=3 pri=1 slice=0
wrunner: loaded 7 items, 3 hints
wrunner: spawn cTRACE tick=21 pid=3 pri=1 slice=1
pu_burner pid=4 priority=2
wrunner: spawn cpu_burner pid=5 priority=2
wrunner: spawn mixed_burner pid=6 prioriTRACE tick=22 pid=3 pri=1 slice=2
ty=1
wrunner: spawn io_burner pid=7 priority=0
TRACE tick=23 pid=3 pri=1 slice=3
TRACE tick=23 pid=7 pri=0 slice=0
TRACE tick=23 pid=7 pri=0 slice=0
wrunner: spawn cpu_burner pid=8 priority=2
wrunner: spawn mixed_burner pid=9 priority=1
wrunner: spawn io_burner pidTRACE tick=24 pid=3 pri=1 slice=0
TRACE tick=25 pid=7 pri=0 slice=0
TRACE tick=25 pid=7 pri=0 slice=0
TRACE tick=25 pid=7 pri=0 slice=0
TRACE tick=26 pid=7 pri=0 slice=0
TRACE tick=26 pid=7 pri=0 slice=0
TRACE tick=27 pid=7 pri=0 slice=0
TRACE tick=27 pid=10 pri=0 slice=0
TRACE tick=27 pid=7 pri=0 slice=0
TRACE tick=27 pid=7 pri=0 slice=0
TRACE tick=27 pid=7 pri=0 slice=0
TRACE tick=28 pid=7 pri=0 slice=0
=10 priority=0
TRACE tick=28 pid=3 pri=1 slice=1
TRACE tick=28 pid=7 pri=0 slice=0
TRACE tick=29 pid=6 pri=1 slice=0
TRACE tick=29 pid=7 pri=0 slice=0
TRACE tick=29 pid=7 pri=0 slice=0
TRACE tick=29 pid=7 pri=0 slice=0
TRACE tick=29 pid=10 pri=0 slice=0
TRACE tick=29 pid=7 pri=0 slice=0
TRACE tick=30 pid=6 pri=1 slice=0
TRACE tick=30 pid=7 pri=0 slice=0
TRACE tick=30 pid=9 pri=1 slice=0
TRACE tick=30 pid=7 pri=0 slice=0
TRACE tick=30 pid=4 pri=2 slice=0
TRACE tick=30 pid=7 pri=0 slice=0
TRACE tick=31 pid=7 pri=0 slice=0
TRACE tick=31 pid=5 pri=2 slice=0
TRACE tick=31 pid=7 pri=0 slice=0
TRACE tick=31 pid=8 pri=2 slice=0
TRACE tick=31 pid=7 pri=0 slice=0
TRACE tick=31 pid=7 pri=0 slice=0
TRACE tick=32 pid=7 pri=0 slice=0
TRACE tick=32 pid=10 pri=0 slice=0
TRACE tick=32 pid=7 pri=0 slice=0
TRACE tick=32 pid=7 pri=0 slice=0
TRACE tick=32 pid=6 pri=1 slice=0
TRACE tick=32 pid=7 pri=0 slice=0
TRACE tick=33 pid=7 pri=0 slice=0
TRACE tick=33 pid=9 pri=1 slice=0
TRACE tick=33 pid=7 pri=0 slice=0
TRACE tick=33 pid=4 pri=2 slice=0
TRACE tick=33 pid=7 pri=0 slice=0
TRACE tick=33 pid=5 pri=2 slice=0
TRACE tick=34 pid=7 pri=0 slice=0
TRACE tick=34 pid=7 pri=0 slice=0
TRACE tick=34 pid=7 pri=0 slice=0
TRACE tick=34 pid=7 pri=0 slice=0
TRACE tick=34 pid=10 pri=0 slice=0
TRACE tick=34 pid=6 pri=1 slice=0
TRACE tick=35 pid=7 pri=0 slice=0
TRACE tick=35 pid=10 pri=0 slice=0
TRACE tick=35 pid=6 pri=1 slice=1
TRACE tick=35 pid=7 pri=0 slice=0
TRACE tick=36 pid=7 pri=0 slice=1
TRACE tick=36 pid=10 pri=0 slice=0
TRACE tick=37 pid=7 pri=0 slice=0
TRACE tick=37 pid=10 pri=0 slice=0
TRACE tick=37 pid=6 pri=1 slice=0
TRACE tick=38 pid=7 pri=0 slice=0
TRACE tick=38 pid=10 pri=0 slice=0
TRACE tick=39 pid=7 pri=0 slice=0
TRACE tick=39 pid=10 pri=0 slice=1
TRACE tick=39 pid=7 pri=0 slice=0
TRACE tick=40 pid=7 pri=0 slice=1
TRACE tick=40 pid=10 pri=0 slice=0
TRACE tick=41 pid=7 pri=0 slice=0
TRACE tick=41 pid=10 pri=0 slice=1
TRACE tick=41 pid=7 pri=0 slice=0
TRACE tick=42 pid=7 pri=0 slice=1
TRACE tick=42 pid=10 pri=0 slice=0
TRACE tick=43 pid=7 pri=0 slice=0
